Designator,Mid X,Mid Y,Rotation,Layer
C1,16.5,44.0,180.0,top
C10,13.0,48.0,0.0,top
C11,15.5,32.0,180.0,top
C12,47.0,24.0,90.0,top
C13,22.85,9.0625,90.0,top
C14,16.0,9.0625,90.0,top
C2,13.0,44.0,0.0,top
C3,12.0,26.0,0.0,top
C4,16.5,21.275,90.0,top
C5,49.0,24.0,90.0,top
C6,45.0,7.5,0.0,top
C7,41.5,7.5,0.0,top
C8,42.98,29.0,0.0,top
C9,37.02,29.0,180.0,top
D1,2.0,28.0,90.0,top
D2,6.0,28.0,90.0,top
D3,27.5,45.0,180.0,top
D4,27.5,43.0,180.0,top
D5,27.5,41.0,180.0,top
D6,27.5,39.0,180.0,top
IC1,15.0,39.0,0.0,top
J1,36.815,2.515,90.0,top
J2,30.196,50.775,90.0,top
J3,57.125,2.515,90.0,top
J4,54.595,50.775,90.0,top
J5,2.5,38.0,270.0,top
J6,4.5,6.5425,0.0,top
J7,65.0,28.0,0.0,top
Q1,5.025,16.0,270.0,top
Q2,5.025,21.0,270.0,top
R1,2.0,23.0,270.0,top
R2,23.5,45.0,0.0,top
R3,23.5,43.0,0.0,top
R4,23.5,41.0,0.0,top
R5,23.5,39.0,0.0,top
R8,13.0,46.0,180.0,top
R9,15.5,34.0,180.0,top
SW1,6.0,48.5,0.0,top
U1,45.0,15.0,270.0,top
U2,11.9975,18.66,270.0,top
Y1,40.0,25.0,180.0,top
